File	:{'Rule': 1}
Dcm_Lcfg_DspUds.c	:{'ARR02': 31, 'DCL00': 28, 'DCL02': 39, 'DCL06': 39, 'DCL13': 1, 'DCL19': 2, 'DCL23': 9, 'EXP07': 39}
Fls_Cfg.c	:{'ARR02': 7, 'DCL15': 1, 'DCL19': 1}
NvM_Cfg.c	:{'ARR02': 94, 'DCL00': 96, 'DCL13': 7, 'DCL15': 2, 'DCL19': 2}
PduR_PBcfg.c	:{'ARR02': 26, 'DCL15': 2, 'DCL19': 4}
rba_CryptoBCL_Cfg.c	:{'ARR02': 1, 'DCL06': 1, 'DCL15': 3, 'DCL19': 3, 'EXP07': 1}
rba_CryptoHSM_Cfg.c	:{'ARR02': 1, 'DCL00': 2, 'DCL06': 6, 'DCL15': 15, 'DCL19': 15, 'DCL23': 1, 'DCL40': 1, 'EXP07': 6}
rb_cap_TxCanApplication_Cfg.h	:{'ARR02': 2, 'DCL19': 2, 'DCL23': 27, 'PRE00': 2, 'PRE02': 2, 'PRE08': 1}
rb_dmim_ISOcommMgt_Cfg.h	:{'ARR02': 2, 'DCL06': 4, 'DCL19': 2, 'EXP07': 4}
rb_vds_CustVehicleDynamicSensor_Cfg.h	:{'ARR02': 2}
rb_wim_WarningIndicatorMgt_Cfg.h	:{'ARR02': 1, 'PRE00': 3}
rb_dmim_ISOcommMgt_Cfg.c	:{'ARR02': 2, 'DCL19': 2, 'DCL40': 3}
rb_sft_SafetySoftware_RomCfg.c	:{'ARR02': 2, 'DCL37': 1}
rb_blif_BootLoaderDataAndFaultMemInterface_Cfg.h	:{'ARR02': 1, 'DCL02': 1, 'DCL19': 1}
rb_dcds_ControlDTCSetting_Cfg.h	:{'ARR02': 1, 'DCL02': 1, 'DCL19': 1, 'PRE00': 2}
rb_ddsc_DiagnosticSessionControl_Cfg.h	:{'ARR02': 1, 'DCL02': 1, 'DCL19': 1, 'PRE00': 1}
rb_der_ECUReset_Cfg.h	:{'ARR02': 1, 'DCL02': 1, 'DCL19': 1, 'PRE00': 1}
rb_dioc_InputOutputControlByIdentifier_Cfg.h	:{'ARR02': 1, 'DCL02': 1, 'PRE00': 4}
rb_drc_RoutineControl_Cfg.h	:{'ARR02': 1, 'DCL02': 1, 'PRE00': 4}
rb_drc_VDSCalibration_Cfg.h	:{'ARR02': 2, 'DCL19': 2}
rb_drdi_ReadDataByIdentifier_Cfg.h	:{'ARR02': 10, 'DCL02': 1, 'DCL06': 2, 'DCL19': 11, 'DCL23': 2, 'EXP07': 2, 'PRE00': 6, 'PRE02': 1}
rb_dsa_SecurityAccess_Cfg.h	:{'ARR02': 1, 'DCL02': 1, 'DCL06': 1, 'EXP07': 1, 'PRE00': 1, 'PRE02': 1}
rb_dsm_DiagnosticServiceMgt_Cfg.h	:{'ARR02': 1, 'DCL19': 1, 'PRE00': 1, 'PRE02': 36, 'PRE12': 1}
rb_dwdi_EndOfLineConfiguration_Cfg.h	:{'ARR02': 4, 'DCL19': 2, 'EXP00': 8}
rb_dwdi_WriteDataByIdentifier_Cfg.h	:{'ARR02': 2, 'DCL02': 1, 'DCL19': 2, 'PRE00': 2, 'PRE02': 1}
rb_ocs_CustOCSMgt_Cfg.h	:{'ARR02': 2, 'DCL19': 3, 'DCL23': 6}
rb_cfge_NvmInitValues_EeCfg.c	:{'ARR02': 6, 'DCL06': 6, 'DCL19': 2, 'EXP00': 1, 'EXP05': 49, 'EXP07': 6, 'STR09': 1, 'STR34': 1}
rb_blif_BootLoaderDataAndFaultMemInterface_RomCfg.c	:{'ARR02': 1, 'DCL19': 1}
rb_dcds_ControlDTCSetting_RomCfg.c	:{'ARR02': 1, 'DCL19': 1}
rb_ddsc_DiagnosticSessionControl_RomCfg.c	:{'ARR02': 1, 'DCL19': 1}
rb_der_ECUReset_RomCfg.c	:{'ARR02': 1, 'DCL19': 1}
rb_dioc_CrashActuatorTest_RomCfg.c	:{'ARR02': 2, 'DCL19': 2}
rb_dioc_InputOutputControlByIdentifier_RomCfg.c	:{'ARR02': 1, 'PRE02': 1}
rb_drc_RoutineControl_RomCfg.c	:{'ARR02': 1, 'PRE02': 3}
rb_drc_VDSCalibration_RomCfg.c	:{'ARR02': 2, 'DCL19': 2, 'EXP14': 3, 'STR09': 2, 'STR34': 2}
rb_drdi_ReadDataByIdentifier_RomCfg.c	:{'ARR02': 8, 'DCL06': 5, 'DCL15': 6, 'DCL19': 17, 'EXP07': 5, 'STR34': 70}
rb_dsa_SecurityAccess_RomCfg.c	:{'ARR02': 1, 'DCL40': 1}
rb_dsm_DiagnosticServiceMgt_RomCfg.c	:{'ARR02': 1, 'DCL19': 1}
rb_dwdi_WriteDataByIdentifier_RomCfg.c	:{'ARR02': 2, 'DCL19': 2}
rb_ocs_CustOCSMgt_RomCfg.c	:{'ARR02': 2, 'DCL19': 3}
rb_vds_CustVehicleDynamicSensor_RomCfg.c	:{'ARR02': 2}
rb_dwdi_EndOfLineConfiguration_RomCfg.c	:{'ARR02': 8, 'DCL15': 5, 'DCL19': 7, 'DCL40': 2}
rb_psgs_CustGenericSensor.c	:{'ARR02': 1, 'DCL06': 2, 'DCL19': 1, 'EXP02': 1, 'EXP07': 2, 'INT34': 2, 'STR34': 3}
rb_wimi_CustSysWiInterface.c	:{'ARR02': 2, 'DCL00': 5, 'DCL19': 8, 'EXP14': 40, 'INT34': 3, 'PRE02': 6, 'STR09': 34, 'STR34': 64}
rb_dsm_CustReportDataByDtcNumber.c	:{'ARR02': 1, 'DCL00': 33, 'DCL06': 17, 'DCL13': 2, 'DCL19': 3, 'EXP07': 17, 'STR34': 9}
rb_eol_CustEndOfLine.c	:{'ARR02': 1, 'DCL00': 32, 'DCL06': 1, 'DCL13': 6, 'DCL15': 1, 'DCL19': 13, 'DCL23': 2, 'DCL40': 2, 'EXP00': 1, 'EXP07': 1, 'EXP14': 7, 'EXP20': 5, 'EXP33': 1, 'STR34': 34}
rb_dcds_CustDataSampler.c	:{'ARR02': 3, 'DCL00': 33, 'DCL06': 7, 'DCL15': 2, 'DCL19': 8, 'EXP00': 1, 'EXP02': 2, 'EXP07': 7, 'EXP14': 1, 'EXP32': 1, 'EXP36': 1, 'INT08': 3, 'INT30': 3, 'INT31': 3, 'INT34': 4, 'MSC24': 1, 'PRE02': 1, 'PRE08': 1, 'STR09': 3, 'STR34': 4}
Dem_Cfg_Client_DataStructures.h	:{'ARR30': 2, 'DCL00': 3, 'DCL06': 1, 'DCL23': 2, 'EXP07': 1}
SecOC_Prv_Utilities.c	:{'ARR30': 3, 'DCL00': 15, 'DCL06': 28, 'DCL19': 11, 'EXP07': 28, 'EXP14': 3, 'EXP34': 5, 'EXP36': 6, 'INT08': 17, 'INT30': 10, 'INT31': 4, 'INT34': 7}
rba_CryptoBCL_Prv.c	:{'ARR30': 1, 'ARR37': 2, 'DCL00': 9, 'DCL06': 8, 'DCL15': 1, 'DCL19': 8, 'EXP07': 8, 'EXP36': 6}
rb_simc_CustSensorInterfaceMonitoring.c	:{'ARR30': 6, 'DCL00': 3, 'DCL06': 4, 'DCL19': 31, 'EXP07': 4, 'EXP20': 1, 'INT34': 6, 'STR34': 1}
rb_cdi_CustRxCanDataInterface.c	:{'ARR30': 2, 'ARR37': 12, 'DCL00': 83, 'DCL06': 11, 'DCL13': 24, 'DCL19': 2, 'DCL23': 1, 'DCL40': 1, 'EXP00': 2, 'EXP07': 11, 'INT08': 1, 'INT31': 1, 'STR34': 20}
rb_cdp_CustRxCanDataProcessor.c	:{'ARR30': 5, 'DCL00': 12, 'DCL06': 4, 'DCL13': 4, 'DCL23': 1, 'DCL40': 1, 'EXP07': 4, 'EXP10': 1, 'EXP30': 1, 'EXP34': 3, 'EXP36': 2, 'INT08': 1, 'INT31': 1, 'PRE02': 10, 'STR34': 8}
rb_cdp_CustTxCanDataProcessor.c	:{'ARR30': 1, 'DCL00': 4, 'DCL06': 1, 'EXP07': 1, 'INT08': 2, 'INT31': 2, 'PRE02': 8}
rb_dcrm_CustReportManager.c	:{'ARR30': 5, 'ARR37': 25, 'DCL00': 261, 'DCL06': 41, 'DCL13': 74, 'DCL19': 74, 'DCL23': 1, 'DCL40': 1, 'EXP00': 3, 'EXP07': 41, 'EXP10': 2, 'EXP14': 5, 'EXP20': 11, 'EXP30': 2, 'EXP36': 3, 'INT08': 27, 'INT30': 17, 'INT31': 26, 'INT34': 6, 'MSC24': 2, 'PRE00': 2, 'PRE02': 2, 'STR09': 5, 'STR34': 55}
rb_dcsm_CustStorageManager.c	:{'ARR30': 2, 'DCL00': 6, 'EXP20': 1, 'STR09': 1, 'STR34': 3}
rb_dem_CustFFDataRecorder.c	:{'ARR30': 31, 'DCL00': 36, 'DCL06': 53, 'DCL13': 1, 'DCL15': 1, 'DCL19': 8, 'EXP00': 5, 'EXP07': 53, 'EXP33': 11, 'INT08': 8, 'INT30': 8, 'INT31': 8, 'PRE00': 1, 'PRE02': 5, 'PRE12': 1, 'STR34': 37}
rb_vdt_CustVehicleDataTransfer.c	:{'ARR30': 3, 'DCL00': 31, 'DCL06': 36, 'DCL19': 6, 'DCL23': 1, 'EXP00': 1, 'EXP02': 3, 'EXP07': 36, 'INT08': 6, 'INT30': 2, 'INT31': 6}
rb_adas_CustADASSignalHandler.c	:{'ARR37': 12, 'DCL00': 9, 'DCL02': 1, 'DCL06': 10, 'DCL13': 2, 'DCL19': 14, 'EXP07': 10, 'INT00': 7, 'INT08': 5, 'INT30': 5, 'INT31': 5, 'STR09': 6, 'STR34': 18}
rb_dioc_CustInputOutputControlByIdentifier.c	:{'ARR37': 4, 'DCL00': 43, 'DCL06': 3, 'DCL13': 5, 'DCL15': 1, 'DCL19': 5, 'EXP07': 3, 'EXP34': 4, 'PRE00': 6, 'STR34': 7}
rb_drc_CustVDSCalibration.c	:{'ARR37': 1, 'DCL00': 17, 'DCL06': 17, 'DCL13': 2, 'DCL15': 4, 'DCL19': 6, 'DCL40': 1, 'EXP07': 17, 'EXP20': 1, 'EXP33': 1, 'EXP34': 8, 'STR34': 4}
rb_drdi_CustReadCrashRecorderData.c	:{'ARR37': 2, 'DCL00': 4, 'DCL06': 12, 'DCL19': 1, 'EXP02': 1, 'EXP07': 12, 'STR34': 4}
BswM_Cfg_RL.h	:{'DCL00': 1}
Csm_Prv.h	:{'DCL00': 20, 'DCL02': 1, 'DCL19': 5, 'EXP02': 1, 'EXP20': 1, 'EXP34': 5, 'INT08': 1, 'INT30': 1, 'PRE00': 1, 'PRE02': 1, 'STR34': 2}
E2E_Prv_P01.h	:{'DCL00': 15, 'DCL06': 25, 'DCL19': 2, 'EXP07': 25, 'EXP20': 2, 'STR34': 6}
E2E_Prv_P05.h	:{'DCL00': 17, 'DCL06': 9, 'EXP00': 2, 'EXP07': 9}
E2E_Prv_P06.h	:{'DCL00': 17, 'DCL06': 9, 'EXP07': 9}
rba_CryptoBCL_Prv.h	:{'DCL00': 52, 'DCL06': 1, 'DCL19': 2, 'DCL23': 9, 'EXP07': 1}
BswM_Cfg_RL.c	:{'DCL00': 1}
Csm.c	:{'DCL00': 11, 'DCL02': 1, 'DCL13': 1, 'EXP02': 2, 'EXP20': 2, 'STR34': 5}
SecOC_PduRIF.c	:{'DCL00': 22, 'DCL06': 5, 'DCL13': 1, 'DCL19': 42, 'EXP07': 5, 'EXP20': 1, 'STR34': 4}
SecOC_Prv.c	:{'DCL00': 100, 'DCL06': 44, 'DCL15': 7, 'DCL19': 16, 'DCL23': 5, 'DCL40': 5, 'EXP00': 7, 'EXP07': 44, 'EXP14': 1, 'EXP20': 7, 'EXP34': 37, 'INT00': 4, 'INT08': 14, 'INT17': 4, 'INT30': 10, 'INT31': 10, 'INT34': 1, 'STR34': 3}
SecOC_Prv_Cfg.c	:{'DCL00': 1, 'DCL06': 35, 'DCL15': 30, 'DCL19': 30, 'EXP07': 35}
SecOC_Prv_FreshIF.c	:{'DCL00': 17, 'DCL19': 1}
rba_CryptoBCL.c	:{'DCL00': 1, 'DCL15': 2, 'DCL19': 11, 'STR34': 2}
rba_CryptoBCL_Prv_KeyExchange.c	:{'DCL00': 17, 'DCL06': 1, 'DCL15': 1, 'DCL19': 6, 'DCL23': 3, 'DCL40': 3, 'EXP07': 1, 'EXP34': 1, 'INT08': 2, 'STR34': 31}
rba_CryptoHSM.c	:{'DCL00': 1, 'DCL06': 1, 'DCL19': 14, 'EXP07': 1, 'STR34': 5}
rba_CryptoHSM_CertificateParse.c	:{'DCL00': 1}
rba_CryptoHSM_CertificateVerify.c	:{'DCL00': 4, 'DCL13': 1}
rba_CryptoHSM_KeyExchangeCalcPubVal.c	:{'DCL00': 4, 'DCL13': 2}
rba_CryptoHSM_KeyExchangeCalcSecret.c	:{'DCL00': 4}
rba_CryptoHSM_KeyGenerate.c	:{'DCL00': 1}
rba_CryptoHSM_Prv.c	:{'DCL00': 32, 'DCL06': 13, 'DCL15': 1, 'DCL19': 12, 'DCL23': 3, 'DCL40': 3, 'EXP07': 13, 'EXP34': 4, 'EXP36': 6, 'STR34': 1}
rba_CryptoHSM_Prv_Cipher.c	:{'DCL00': 30, 'DCL06': 9, 'DCL15': 1, 'DCL19': 26, 'DCL23': 1, 'EXP00': 2, 'EXP07': 9, 'EXP34': 24, 'INT08': 2, 'INT30': 2, 'STR34': 18}
rba_CryptoHSM_Prv_Mac.c	:{'DCL00': 29, 'DCL06': 2, 'DCL15': 2, 'DCL19': 21, 'EXP07': 2, 'EXP34': 6, 'STR34': 19}
rba_CryptoHSM_Prv_Random.c	:{'DCL00': 32, 'DCL19': 11, 'DCL23': 1, 'DCL40': 1, 'EXP34': 1, 'STR34': 18}
rba_CryptoHSM_Prv_SHE.c	:{'DCL00': 23, 'DCL19': 10, 'EXP34': 1, 'STR34': 9}
Nvm_MultiBlockCallback.c	:{'DCL00': 3}
rb_co_CrashOutput_Cfg.h	:{'DCL00': 1, 'DCL19': 1, 'PRE00': 2, 'PRE02': 17, 'PRE12': 2, 'STR09': 1, 'STR34': 1}
rb_prd_ProductionDiagnosis_Cfg.h	:{'DCL00': 1, 'DCL19': 2, 'PRE03': 1, 'PRE08': 4}
rb_dsm_DiagnosticServiceDefinitions_Cfg.h	:{'DCL00': 5, 'DCL19': 1}
rb_eol_CustEndOfLineConfiguration_Cfg.h	:{'DCL00': 7, 'DCL06': 1, 'EXP07': 1}
rb_iph_CustInfoPeakHold_Cfg.h	:{'DCL00': 2}
rb_blif_PKISecurityInfo_RomCfg.c	:{'DCL00': 1, 'DCL15': 1, 'DCL19': 1, 'DCL40': 7}
rb_eol_CustEndOfLineConfiguration_Cfg.c	:{'DCL00': 7, 'DCL23': 1}
rb_algi_CustAlgoMainInterface.c	:{'DCL00': 2}
rb_co_CustEventNotificationSignal.c	:{'DCL00': 35, 'DCL19': 29, 'DCL40': 1, 'EXP00': 1, 'EXP02': 12, 'EXP10': 2, 'EXP14': 3, 'EXP20': 4, 'EXP30': 2, 'EXP34': 1, 'INT00': 1, 'INT08': 1, 'INT13': 58, 'INT31': 1, 'INT34': 3, 'PRE02': 1, 'STR09': 113, 'STR34': 150}
rb_coec_CustEmergencyCall.c	:{'DCL00': 14, 'DCL06': 2, 'DCL15': 2, 'DCL19': 8, 'DCL40': 1, 'EXP02': 1, 'EXP07': 2, 'INT00': 2, 'INT08': 4, 'INT13': 1, 'INT30': 2, 'INT31': 2, 'PRE02': 1, 'STR09': 5, 'STR34': 19}
rb_cosc_CustCOSystemCallback.c	:{'DCL00': 1, 'DCL19': 1}
rb_ocs_CustOCSApplication.c	:{'DCL00': 44, 'DCL13': 1, 'DCL15': 2, 'DCL19': 15, 'EXP02': 3, 'INT08': 5, 'INT13': 1, 'INT30': 5, 'INT31': 5, 'STR09': 4, 'STR34': 44}
rb_ocs_CustOCSFaultMgt.c	:{'DCL00': 4, 'DCL13': 1}
rb_sqmi_CustSquibMgtInterface.c	:{'DCL00': 2}
rb_swm_CustSwitchManagement.c	:{'DCL00': 5, 'DCL06': 1, 'DCL19': 5, 'EXP07': 1, 'PRE00': 1, 'PRE12': 1, 'STR09': 4, 'STR34': 15}
rb_wimi_CustPaoxInterface.c	:{'DCL00': 5, 'DCL19': 7, 'EXP14': 26, 'INT34': 1, 'PRE08': 1, 'STR09': 25, 'STR34': 38}
rb_cfh_CustFmCanFaultHandler.c	:{'DCL00': 10, 'DCL19': 1, 'DCL23': 3, 'DCL40': 3, 'PRE02': 5, 'PRE08': 1, 'STR34': 20}
rb_cdh_CustRxCanDataHandler.c	:{'DCL00': 85, 'DCL06': 1, 'DCL13': 6, 'DCL23': 3, 'DCL40': 3, 'EXP00': 1, 'EXP07': 1, 'PRE02': 1, 'STR34': 22}
rb_cdh_CustTxCanDataHandler.c	:{'DCL00': 30, 'DCL06': 2, 'DCL13': 13, 'DCL15': 2, 'DCL19': 5, 'EXP07': 2}
rb_drdi_CustReadDataByIdentifier.c	:{'DCL00': 67, 'DCL06': 8, 'DCL13': 2, 'DCL19': 16, 'DCL23': 1, 'DCL40': 1, 'EXP07': 8, 'PRE00': 1, 'PRE02': 2, 'STR34': 21}
rb_dwdi_CustWriteDataByIdentifier.c	:{'DCL00': 4, 'DCL19': 1, 'PRE00': 1, 'PRE02': 1, 'PRE12': 1}
rb_dcc_CustDCController.c	:{'DCL00': 3, 'DCL06': 1, 'EXP07': 1}
rb_drmi_CustReportManagerInterface.c	:{'DCL00': 5}
rb_kms_CustKeyMgmtSystem.c	:{'DCL00': 34, 'DCL06': 57, 'DCL13': 2, 'DCL15': 1, 'DCL19': 24, 'DCL40': 1, 'EXP00': 12, 'EXP07': 57, 'INT17': 1, 'INT34': 12, 'MSC24': 5, 'STR34': 52}
rb_vdt_CustVehicleDataTransfer_Interfaces.h	:{'DCL00': 1, 'DCL06': 1, 'DCL23': 1, 'EXP07': 1}
BswM_Cfg_AC.h	:{'DCL00': 1}
BswM_Cfg_LE.h	:{'DCL00': 30, 'DCL23': 6, 'PRE08': 1}
Com_Cbk.h	:{'DCL00': 92, 'DCL13': 13, 'PRE00': 1, 'PRE02': 1}
Crc.h	:{'DCL00': 16}
CryIf.h	:{'DCL00': 44, 'PRE00': 1, 'PRE02': 1}
Csm.h	:{'DCL00': 80, 'DCL02': 6, 'DCL13': 1}
Csm_Cbk.h	:{'DCL00': 4}
Dcm_Cfg_DspUds.h	:{'DCL00': 3, 'DCL02': 1, 'DCL23': 2}
Dcm_Lcfg_DslDsd.h	:{'DCL00': 48}
Dem_Cfg_Clear.h	:{'DCL00': 6, 'DCL23': 1}
Dem_Cfg_DTC_DataStructures.h	:{'DCL00': 7, 'DCL06': 6, 'DCL19': 1, 'EXP07': 6}
Dem_Cfg_EventsCallback.h	:{'DCL00': 12}
Dem_Cfg_Events_DataStructures.h	:{'DCL00': 29, 'DCL06': 21, 'EXP07': 21, 'INT08': 2, 'INT30': 2, 'INT31': 2}
Dem_Cfg_NvmCallbacks.h	:{'DCL00': 40}
Dem_Cfg_OperationCycle_DataStructures.h	:{'DCL00': 2}
Dem_PrjEnvDataElement.h	:{'DCL00': 2}
Det_cfg.h	:{'DCL00': 4, 'PRE00': 1}
E2E.h	:{'DCL00': 1, 'PRE00': 1, 'PRE02': 1}
E2E_P01.h	:{'DCL00': 11}
E2E_P02.h	:{'DCL00': 11, 'DCL06': 1, 'EXP07': 1}
E2E_P05.h	:{'DCL00': 12}
E2E_P06.h	:{'DCL00': 12}
E2E_Prv.h	:{'DCL00': 14, 'DCL06': 1, 'DCL19': 1, 'EXP07': 1}
E2E_Prv_P02.h	:{'DCL00': 6, 'DCL06': 2, 'DCL19': 1, 'EXP00': 1, 'EXP07': 2, 'EXP20': 2, 'INT08': 1, 'INT30': 1}
E2E_SM.h	:{'DCL00': 3}
Fls.h	:{'DCL00': 23, 'DCL02': 2, 'PRE03': 1}
MemIf_Cfg.h	:{'DCL00': 28}
PduR_CanIf.h	:{'DCL00': 3}
PduR_CanTp.h	:{'DCL00': 15}
PduR_Com.h	:{'DCL00': 2}
PduR_Com_Up.h	:{'DCL00': 2, 'PRE00': 3, 'PRE12': 1}
PduR_Dcm.h	:{'DCL00': 4}
PduR_SecOC.h	:{'DCL00': 5}
PduR_SecOC_Up.h	:{'DCL00': 2, 'PRE00': 9, 'PRE12': 3}
SecOC.h	:{'DCL00': 3, 'DCL02': 1}
SecOC_PduRIF.h	:{'DCL00': 21, 'DCL13': 1}
SecOC_Prv_CryptIF.h	:{'DCL00': 6, 'DCL19': 1}
SecOC_Prv_FreshIF.h	:{'DCL00': 16}
SecOC_Prv_PduRIF.h	:{'DCL00': 5, 'DCL06': 2, 'EXP07': 2, 'EXP34': 1}
rba_CryptoBCL.h	:{'DCL00': 28, 'PRE00': 1, 'PRE02': 1}
rba_CryptoHSM.h	:{'DCL00': 40, 'DCL13': 3, 'PRE00': 1, 'PRE02': 1}
rba_DemBfm_Cfg_Nvm.h	:{'DCL00': 40, 'PRE02': 1}
BswM_Cfg_AC.c	:{'DCL00': 1, 'DCL19': 1, 'DCL23': 1, 'PRE08': 1}
BswM_Cfg_LE.c	:{'DCL00': 30, 'DCL23': 2, 'DCL40': 2}
Crc.c	:{'DCL00': 16, 'DCL19': 4}
CryIf.c	:{'DCL00': 2, 'EXP20': 1}
CryIf_JobProcessing.c	:{'DCL00': 4, 'DCL19': 6, 'EXP20': 6}
CryIf_KeyManagement.c	:{'DCL00': 38, 'DCL19': 41, 'EXP20': 31}
CryIf_Prv.c	:{'DCL00': 42, 'DCL13': 7, 'DCL23': 1, 'DCL40': 1}
Csm_Cipher.c	:{'DCL00': 12, 'DCL19': 2, 'EXP20': 14, 'EXP34': 2}
Csm_Hash.c	:{'DCL00': 6, 'DCL19': 1, 'EXP20': 7}
Csm_KeyManagement.c	:{'DCL00': 42, 'DCL19': 18, 'EXP20': 31}
Csm_MAC.c	:{'DCL00': 12, 'DCL19': 2, 'EXP20': 14, 'EXP34': 2}
Csm_Random.c	:{'DCL00': 3, 'DCL19': 1, 'EXP20': 5, 'EXP34': 1}
Csm_SHE.c	:{'DCL00': 5, 'DCL19': 1, 'EXP20': 4, 'EXP34': 1}
Dem_Cfg_Clear.c	:{'DCL00': 6}
Dem_Cfg_NvmCallbacks.c	:{'DCL00': 40, 'DCL06': 34, 'EXP07': 34}
E2E.c	:{'DCL00': 1}
E2E_P01.c	:{'DCL00': 11, 'DCL06': 3, 'DCL19': 5, 'EXP07': 3, 'EXP20': 2, 'STR09': 4, 'STR34': 13}
E2E_P02.c	:{'DCL00': 11, 'DCL19': 3, 'EXP20': 2, 'STR09': 4, 'STR34': 12}
E2E_P05.c	:{'DCL00': 14, 'DCL06': 4, 'DCL19': 7, 'EXP07': 4, 'EXP20': 3, 'STR34': 6}
E2E_P06.c	:{'DCL00': 14, 'DCL06': 5, 'DCL19': 8, 'EXP07': 5, 'EXP20': 3, 'STR34': 6}
E2E_SM.c	:{'DCL00': 3, 'DCL19': 1, 'STR09': 8, 'STR34': 17}
Eep_Cfg.c	:{'DCL00': 1, 'DCL19': 1}
Fls.c	:{'DCL00': 23}
PduR_LoTp.c	:{'DCL00': 15}
PduR_UpIf.c	:{'DCL00': 7}
PduR_UpTp.c	:{'DCL00': 4}
PduR_dLoIf.c	:{'DCL00': 3}
SecOC.c	:{'DCL00': 4, 'DCL02': 1, 'DCL06': 2, 'DCL19': 20, 'EXP07': 2, 'EXP20': 2, 'EXP34': 5, 'INT00': 2, 'STR34': 2}
SecOC_Prv_CryptIF.c	:{'DCL00': 6, 'DCL19': 1, 'EXP34': 5}
rba_CryptoBCL_CancelJob.c	:{'DCL00': 2, 'STR34': 2}
rba_CryptoBCL_KeyCopy.c	:{'DCL00': 2, 'DCL19': 3}
rba_CryptoBCL_KeyElementCopy.c	:{'DCL00': 4, 'DCL19': 3}
rba_CryptoBCL_KeyElementGet.c	:{'DCL00': 4, 'DCL19': 1}
rba_CryptoBCL_KeyElementIdsGet.c	:{'DCL00': 3, 'DCL19': 2}
rba_CryptoBCL_KeyElementSet.c	:{'DCL00': 4, 'DCL19': 2}
rba_CryptoBCL_KeyExchangeCalcPubVal.c	:{'DCL00': 3, 'DCL19': 1}
rba_CryptoBCL_KeyExchangeCalcSecret.c	:{'DCL00': 3, 'DCL19': 3}
rba_CryptoBCL_KeySetValid.c	:{'DCL00': 1, 'DCL19': 1}
rba_CryptoBCL_ProcessJob.c	:{'DCL00': 2, 'DCL19': 2, 'EXP34': 4}
rba_CryptoBCL_Prv_Hash.c	:{'DCL00': 4, 'DCL19': 1, 'EXP34': 1, 'STR34': 11}
rba_CryptoHSM_CancelJob.c	:{'DCL00': 2, 'STR34': 2}
rba_CryptoHSM_KeyCopy.c	:{'DCL00': 2, 'DCL19': 3, 'STR34': 1}
rba_CryptoHSM_KeyElementCopy.c	:{'DCL00': 4, 'DCL19': 3, 'STR34': 2}
rba_CryptoHSM_KeyElementCopyPartial.c	:{'DCL00': 7, 'DCL19': 3, 'STR34': 2}
